GaussianCopula,tCopula,ClaytonCopula,HS
-0.039059908316977275,-0.04453032272518787,-0.05568248386092905,-0.04044099660683874
-0.04062842788430275,-0.04534049721009662,-0.04752470835901991,-0.04044099660683874
-0.042675890745700266,-0.04241776978364884,-0.04470750185001318,-0.04044099660683874
-0.036386757396561366,-0.04991531300847046,-0.05591812746347354,-0.04044099660683874
-0.037200310850312356,-0.03536215688576058,-0.04644809457310836,-0.04044099660683874
-0.04636937313013677,-0.03604442544507344,-0.0434840979427713,-0.04044099660683874
-0.046737018365687784,-0.03962028268857963,-0.041978603472028246,-0.04044099660683874
-0.032764036531311845,-0.04194845676324524,-0.06167824544266863,-0.04044099660683874
-0.03819951635064173,-0.04419672680854434,-0.050794650554546676,-0.04044099660683874
-0.039398048473204945,-0.04813411237576827,-0.04645655357335611,-0.04044099660683874
-0.03721021553800479,-0.047296605196149484,-0.04665359944737629,-0.04044099660683874
-0.04042914695912863,-0.0513558248328551,-0.05423925544842669,-0.04044099660683874
-0.04629812079278507,-0.04803126821409274,-0.05433890834175728,-0.04044099660683874
-0.03488490401006111,-0.03367638563417023,-0.058074118497104255,-0.04044099660683874
-0.04874338189219064,-0.0640756203040032,-0.06448183271040402,-0.04044099660683874
-0.04872859224806331,-0.04119551068036657,-0.05120101543749012,-0.04044099660683874
-0.04552535721277147,-0.0512936402738033,-0.05596349465996251,-0.04044099660683874
-0.04498204616962521,-0.06151142914107133,-0.0602214004175547,-0.04044099660683874
-0.0431816547870013,-0.06606961768370592,-0.057221380392362506,-0.04044099660683874
-0.05196885944008058,-0.06659040346686755,-0.0533522589055331,-0.04044099660683874
-0.04840000082732494,-0.04964447058591054,-0.058660942942946125,-0.04044099660683874
-0.04257343788595679,-0.05372293496932752,-0.053882022417378904,-0.04044099660683874
-0.04156670521672874,-0.0586708115721519,-0.06825490018682481,-0.04044099660683874
-0.041062053034198485,-0.04068975524164973,-0.07731043256640488,-0.04044099660683874
-0.04707372730569561,-0.053341329307043765,-0.05707875345786445,-0.04044099660683874
-0.04135628111154917,-0.05161191615228849,-0.05034704482970985,-0.04044099660683874
-0.04061806562473069,-0.053787931537104636,-0.0493384799876545,-0.04044099660683874
-0.04274241624446053,-0.05439878610261701,-0.05070140846711915,-0.04044099660683874
-0.05748680928427368,-0.07175395685405829,-0.05065538233305107,-0.04044099660683874
-0.04536410362744287,-0.04296047870747502,-0.050235907874197336,-0.04044099660683874
-0.05372558532608526,-0.04289997635101063,-0.05165839031298665,-0.04044099660683874
-0.04797749705621934,-0.0549506728950252,-0.05699925190519431,-0.04044099660683874
-0.04743476920757826,-0.04054078783995471,-0.050801965257030034,-0.04044099660683874
-0.04139901907051225,-0.06437275742427015,-0.04705895002837022,-0.04044099660683874
-0.04271580384752857,-0.052054985939442584,-0.058169105593546114,-0.04044099660683874
-0.04083355940219831,-0.034825888713761056,-0.04380656327956768,-0.04044099660683874
-0.04456098991672588,-0.050280164676684454,-0.05625699420286428,-0.04044099660683874
-0.036924481796520664,-0.04177619206730262,-0.045118252549269613,-0.04044099660683874
-0.034967968629351996,-0.04088694776543817,-0.05398063040586929,-0.04044099660683874
-0.040941016683457426,-0.05031914727744107,-0.051663261340487286,-0.04044099660683874
-0.03258430134268742,-0.044295739062965335,-0.039211429484772485,-0.04044099660683874
-0.03475861547592541,-0.048059281863198446,-0.0643390557730092,-0.04044099660683874
-0.04767830993649522,-0.04513075596560191,-0.06639315079951637,-0.04044099660683874
-0.05115541033223553,-0.04675246795240942,-0.04578726742461604,-0.04044099660683874
-0.038950188946267734,-0.0508322376768052,-0.06250874602983306,-0.04044099660683874
-0.035675867132883184,-0.049284332566217,-0.048627570743186604,-0.04044099660683874
